name,city,in_main_csv,existing_address,existing_zip,existing_latitude,existing_longitude,found_address,found_zip,found_latitude,found_longitude,source_url,confidence_note
Lake Burien School Memorial Park,Burien,Y,,,47.47007917917601,-122.3584224842315,1620 SW 149th Street,98166,47.470160532961216,-122.35623346625272,https://www.burienwa.gov/residents/parks_recreation_cultural_services/completed_park_facility_improvement_projects/lake_burien_school_memorial_park_improvement,"high confidence on address (official city source); the existing coordinates (parsed from the same Google Maps iframe embedded on the city's page) sit noticeably off the park - confirmed by user report of the marker landing outside the park boundary - and an independent third-party park listing (mypacer) gives a location ~165m away, used here as the correction; do not use 14700 6th Ave SW, which is a Yelp listing error belonging to Burien Community Center"
Walker Creek Wetland,Burien,N,South 176th Street and Des Moines Memorial Drive South,,,,South 176th Street and Des Moines Memorial Drive South,98148,47.4445,-122.3275,https://nominatim.openstreetmap.org,"approximate - no official park coordinate published; estimated from OSM street-segment intersection, medium confidence"
Barnes Creek Nature Trail,Des Moines,Y,,,47.39769873086612,-122.31475678158877,Kent-Des Moines Rd (WA-516) trailhead near 16th Ave S,98198,,,https://www.wta.org/go-hiking/hikes/barnes-creek-nature-trail,"cross-street only, no formal street number; WTA hike listing and Waze both point to the same Kent-Des Moines Rd (WA-516) trailhead near 16th Ave S"
Big Catch Plaza,Des Moines,Y,,,47.40715123439395,-122.32528383702198,21634-21640 Marine View Dr S,98198,,,https://everout.com/seattle/locations/big-catch-plaza/l23764/,"cross-checked via OSM reverse geocode near given coordinate, good confidence"
Cameron's Crossing,Des Moines,Y,,,47.375296194504294,-122.31171546426265,,,,,,NOT FOUND - extensive search found no park/trail/plat by this name; coordinate falls in Woodmont neighborhood but no source confirms this name - do not guess
Cecil Powell Park,Des Moines,Y,,,47.37795793255544,-122.31609331414191,S 250th St & 13th Pl S (also cited as 25001 13th Place South),98198,,,https://www.seattlesouthside.com/directory/cecil-powell-park/,"confirmed via local news + OSM reverse geocode, good confidence"
City Park / Kiddie Park,Des Moines,Y,,,47.39595054915956,-122.30330987790691,S 230th St & 21st Ave S (Kent-Des Moines Rd entrance ~2323 Kent Des Moines Rd),98198,,,official city Parks & Recreation facilities PDF (civiclive.com),"cross-street only in official doc; moderate confidence, two access points"
Des Moines Beach Park,Des Moines,Y,,,47.40380669262554,-122.33048210825908,22030 Cliff Ave S,98198,,,https://www.desmoineswa.gov/departments/parks_recreation,"high confidence, official city page, reverse-geocode matches street name"
Des Moines Creek Trail,Des Moines,Y,,,47.411357979547816,-122.32384203564392,,98198,,,,"NOT FOUND - mid-trail coordinate on a path, not a numbered street; no formal address"
Des Moines Field House Park,Des Moines,Y,,,47.40492230832006,-122.32084866895573,1000 S 220th St,98198,,,https://www.desmoineswa.gov/departments/parks_recreation/facility_rentals,"high confidence, official city page + exact reverse-geocode match"
Des Moines Marina & Fishing Pier,Des Moines,Y,,,47.399573199523765,-122.32872140216821,22307 Dock Ave S,98198,,,https://wdfw.wa.gov/places-to-go/fishing-piers/des-moines-marina-pier,"high confidence, official WDFW listing"
Des Moines Memorial Park,Des Moines,Y,,,47.40868001545717,-122.32667334541907,S 216th St & Marine View Dr S (approx. 673 S 216th St),98198,,,official city Parks facilities PDF (civiclive.com),"low-medium confidence, best-effort interpolated location, no clean official address found"
Graceview Park,Des Moines,Y,,,47.391021301471405,-122.30606280856396,,,,,,NOT FOUND - could not confirm this park exists under this name in any source; reverse-geocode returns only a generic residential address
Massey Creek Plaza,Des Moines,Y,,,47.396549294613976,-122.32251604784004,,,,,https://mapcarta.com/23950884,NOT FOUND - likely a small unaddressed pocket/plaza near where Massey Creek meets Puget Sound by the marina
Midway Park,Des Moines,Y,,,47.403183404250385,-122.29613089603964,2885 S 221st St,98198,,,https://www.seattlesouthside.com/directory/midway-park/,"high confidence, listed GPS matches given coords within ~15m, cross-verified by second source"
Overlook I,Des Moines,Y,,,47.40178451271731,-122.32824531414802,22315 6th Ave S,98198,,,https://maps.apple.com/place?place-id=IDEA35F14A573392,"low confidence - address likely borrowed from adjacent condo building, not a dedicated park address"
Overlook II,Des Moines,Y,,,47.40298280264714,-122.32897411123119,402 S 222nd St (shared/adjacent parcel with Sound View Park),98198,,,https://www.seattlesouthside.com/directory/sound-view-park/,medium confidence - city records list cross-streets only; nearby Sound View Park address is within ~40m
Parkside Park,Des Moines,Y,,,47.383789993390565,-122.30060573769343,2518 S 244th St,98198,,,https://www.seattlesouthside.com/directory/parkside-park/,"high confidence, GPS match within ~70m, corroborated by second source"
Parkside Wetlands,Des Moines,Y,,,47.38203276050109,-122.30108009815211,S 248th St & 26th Ave S (cross streets only),98198,,,official city Parks facilities PDF (civiclive.com),"medium confidence on location only; no street number found, appears to be an unaddressed open-space parcel"
Redondo Trail,Des Moines,Y,,,47.34629891103008,-122.32122692492422,~28201 Redondo Way / Redondo Beach Dr S (nearby reference only),98198,,,https://www.yelp.com/biz/redondo-beach-des-moines,NOT a trail-specific address - this is the Redondo Beach Park/boardwalk area address; not fully certain
S 239th Beach Access/Zenith Overlook,Des Moines,Y,,,47.387918213874705,-122.32660507567472,S 239th St (no street number),98198,,,https://www.seattlesouthside.com/listing/zenith-overlook-beach-access/1366/,"tourism directory listing, small beach access point with no numbered address"
S 251st Park,Des Moines,Y,,,47.37730329649592,-122.32318210125557,S 251st St & Marine View Dr S (intersection only),98198,,,official city Parks facilities PDF (civiclive.com),intersection matches given coords closely; no formal street number
Sonju Park,Des Moines,Y,,,47.38006571785192,-122.31041836562893,24728 16th Ave S,98198,,,https://maps.roadtrippers.com/us/des-moines-wa/nature/sonju-park,"geocoded coordinates closely match given lat/lon; a variant address (24804 16th Ave S) also cited elsewhere, not fully certain"
South Marina Park,Des Moines,Y,,,47.39810384642676,-122.32746799040304,22633 6th Ave S,98198,,,https://www.seattlesouthside.com/directory/south-marina-park/,"tourism directory listing, consistent with marina-area location"
Steven J. Underwood Mem. Park,Des Moines,Y,,,47.40579694210023,-122.30651805652622,21800 20th Ave S (also cross-listed as 1906 S 220th St),98198,,,https://foursquare.com/v/stephen-j-underwood-park/4df5760b14954f21cf3522b6,"high confidence, published coordinates essentially match given lat/lon exactly"
Van Gasken House,Des Moines,Y,,,47.403444202891514,-122.32912062208146,402 S 222nd St,98198,,,https://www.dmhs.org/map-photos/vangasken_18.html,"official Des Moines Historical Society page; site is now Van Gasken Sound View Park (house demolished 2020); same address as Overlook II, same shared parcel"
Water Tower Park,Des Moines,Y,,,47.41572520598485,-122.32794668681304,504 S 208th St,98198,,,https://www.seattlesouthside.com/directory/water-tower-park/,"corroborated by official city Parks facility list (208th between 5th & 6th), matches given lat/lon"
Westwood Park,Des Moines,Y,,,47.4303025476014,-122.32787725612933,19213 6th Ave S,98198,,,https://www.seattlesouthside.com/directory/westwood-park/,"verified against official city Parks facility list; note a different, separate Westwood Park exists at 19602 6th Ave S in neighboring Normandy Park (98148) - do not confuse"
Woodmont Park,Des Moines,Y,,,47.362581613914024,-122.3195050922856,1115 Woodmont Beach Rd S,98198,,,https://www.seattlesouthside.com/directory/woodmont-park/,"moderately confident directory listing, not independently cross-validated against a numbered cross-street (private community road)"
Wooton Park,Des Moines,Y,,,47.34851794486507,-122.3224501692641,28202 9th Ave S,98198,,,Google Maps listing (place_id ChIJm73QwvtZkFQRFsOjH-KxkFk),"corroborated by seattlesouthside.com and Waze, cross-street numbering consistent with given lat/lon"
Adelaide Park,Federal Way,Y,30619 16th Ave SW,98003,47.327319,-122.362826,,,47.32734,-122.35710,https://www.google.com/maps/place/Adelaide+Park,"high confidence the coordinates are wrong - the city's Bing map pin is systematically ~350-900m off (same westward-skewing bug seen across many Federal Way parks); corrected value is Google's exact-name-match location, cross-confirmed by independently geocoding the same street address via the free US Census geocoder, which lands within ~40-220m of Google in every case checked (vs. Bing's much larger gap)"
Alderdale Park,Federal Way,Y,2700 SW 340th Place,98023,47.29776,-122.379405,,,47.29774,-122.36751,https://www.google.com/maps/place/Alderdale+Park,"high confidence the coordinates are wrong - the city's Bing map pin is systematically ~350-900m off (same westward-skewing bug seen across many Federal Way parks); corrected value is Google's exact-name-match location, cross-confirmed by independently geocoding the same street address via the free US Census geocoder, which lands within ~40-220m of Google in every case checked (vs. Bing's much larger gap)"
BPA Trail,Federal Way,N,,,,,"1095 S 324th St (Celebration Park, north trailhead - no single address for the trail itself)",98003,47.3078,-122.3197,https://www.wta.org/go-hiking/hikes/bpa-trail,approximate - trail spans ~3.8 mi from Celebration Park to Madrona Park (508 SW 356th St); representative point is the documented north trailhead
Brooklake Historic Community Center & Park Area,Federal Way,Y,726 S 356th St,98003,47.290161,-122.349951,,,47.283813,-122.3252682,"https://www.google.com/maps/place/Brooklake+Community+Center/@47.2870487,-122.3308213,16.21z","medium-high confidence the existing coordinates are wrong (~2km off) - Google resolves this address to 'Brooklake Community Center' (likely the same complex, just a shorter Google listing name); corroborated by the same same-street cross-check as Hylebos Blueberry Farm Park (726 S 356th St vs. 630 S 356th St should be close together, and are under Google's coordinates but not under the city's Bing pins)"
Cedar Grove Park,Federal Way,Y,2200 S 333rd St,98003,47.303709,-122.309825,,,47.30359,-122.30454,https://www.google.com/maps/place/Cedar+Grove+Park,"high confidence the coordinates are wrong - the city's Bing map pin is systematically ~350-900m off (same westward-skewing bug seen across many Federal Way parks); corrected value is Google's exact-name-match location, cross-confirmed by independently geocoding the same street address via the free US Census geocoder, which lands within ~40-220m of Google in every case checked (vs. Bing's much larger gap)"
Conna Park (Formerly Alderbrook Park),Federal Way,Y,1401 SW 325th Pl,98023,47.309388,-122.355778,,,47.30821878134364,-122.35461514309394,https://www.mypacer.com/parks/228709/alderbrook-park-federal-way,"medium confidence adjustment - the city's Bing-link coordinate and an independent third-party park listing (under the park's former name, Alderbrook Park) are only ~150m apart, not a gross error like Lake Killarney, but per user report the existing pin lands over a house; this is a large 25-acre irregular natural area so a modest shift is plausible and worth applying"
Coronado Park,Federal Way,Y,2501 SW 349th Pl,98003,47.288327,-122.371151,,,47.28833,-122.36593,https://www.google.com/maps/place/Coronado+Park,"high confidence the coordinates are wrong - the city's Bing map pin is systematically ~350-900m off (same westward-skewing bug seen across many Federal Way parks); corrected value is Google's exact-name-match location, cross-confirmed by independently geocoding the same street address via the free US Census geocoder, which lands within ~40-220m of Google in every case checked (vs. Bing's much larger gap)"
Dash Point Highlands Park,Federal Way,Y,5300 SW 324th Pl,98023,47.310911,-122.406986,,,47.31105,-122.40178,https://www.google.com/maps/place/Dash+Point+Highlands+Park,"high confidence the coordinates are wrong - the city's Bing map pin is systematically ~350-900m off (same westward-skewing bug seen across many Federal Way parks); corrected value is Google's exact-name-match location, cross-confirmed by independently geocoding the same street address via the free US Census geocoder, which lands within ~40-220m of Google in every case checked (vs. Bing's much larger gap)"
English Gardens Park,Federal Way,Y,1210 SW 333rd St,98003,47.303811,-122.357805,,,47.30468,-122.35314,https://www.google.com/maps/place/English+Gardens+Park,"high confidence the coordinates are wrong - the city's Bing map pin is systematically ~350-900m off (same westward-skewing bug seen across many Federal Way parks); corrected value is Google's exact-name-match location, cross-confirmed by independently geocoding the same street address via the free US Census geocoder, which lands within ~40-220m of Google in every case checked (vs. Bing's much larger gap)"
Fishers Pond Park,Federal Way,Y,1095 S 324th Street,98003,47.312226102107,-122.321255204465,7th Ave SW (no house number found),98023,47.3157799791055,-122.343680055162,https://maps.roadtrippers.com/us/federal-way-wa/nature/fishers-pond-park,"high confidence this is wrong in the main CSV - the city's own 'Our Parks' page lists Fishers Pond Park's Location as the exact same address as Celebration Park, which is why both ended up geocoded to identical coordinates; Roadtrippers gives an independent, distinct location ~1.7 miles away on 7th Ave SW, consistent with it being a separate small natural-area park"
Hanwoori Korean Gardens & Panther Lake Trail,Federal Way,N,"550 SW Campus Dr, Federal Way, WA 98023",,,,550 SW Campus Dr,98023,47.29364,-122.34218,https://nominatim.openstreetmap.org,"high confidence - house-level geocode match, corroborated by a Yelp listing at the same address"
Heritage Woods Park,Federal Way,Y,28200 23rd Ave S,98003,47.349044,-122.307336,,,47.34876,-122.30301,https://www.google.com/maps/place/Heritage+Woods+Park,"high confidence the coordinates are wrong - the city's Bing map pin is systematically ~350-900m off (same westward-skewing bug seen across many Federal Way parks); corrected value is Google's exact-name-match location, cross-confirmed by independently geocoding the same street address via the free US Census geocoder, which lands within ~40-220m of Google in every case checked (vs. Bing's much larger gap)"
Hylebos Blueberry Farm Park,Federal Way,Y,630 S 356th St,98003,47.340711,-122.314729,,,47.283039,-122.3260652,"https://www.google.com/maps/place/Hylebos+Blueberry+Farm+Park/@47.2830426,-122.3286401,16z","high confidence the existing coordinates are wrong - the city's Bing pin is ~6.5km from Google's exact-name-match resolution; corroborated by cross-checking against Brooklake Historic Community Center & Park Area, whose address (726 S 356th St) is on the same street just ~100 house numbers away - Google resolves both to within ~90m of each other (consistent with neighboring addresses on the same street), while the city's Bing pins for the two are ~6km apart, which isn't physically plausible for addresses this close together"
Lake Grove Park,Federal Way,Y,833 SW 308th St,98023,47.324789,-122.352397,,,47.32485,-122.34716,https://www.google.com/maps/place/Lake+Grove+Park,"high confidence the coordinates are wrong - the city's Bing map pin is systematically ~350-900m off (same westward-skewing bug seen across many Federal Way parks); corrected value is Google's exact-name-match location, cross-confirmed by independently geocoding the same street address via the free US Census geocoder, which lands within ~40-220m of Google in every case checked (vs. Bing's much larger gap)"
Lake Killarney Open Space Park,Federal Way,Y,34902 Weyerhaeuser Way S,98003,47.312137,-122.338434,,,47.2878224,-122.2915472,"https://www.google.com/maps/place/Lake+Killarney+Open+Space+Park/@47.287826,-122.2941221,17z","high confidence the coordinates are wrong (not the address) - the city's page embeds two disagreeing map links for this park; the one our scraper reads (Bing's cp= parameter) points ~3km away in a residential subdivision (matches user report of the marker sitting over houses), while the same page's Google Maps link resolves to a place literally named 'Lake Killarney Open Space Park' on the lake's western shore, corroborated independently by Wikipedia/WDFW's location for Lake Killarney itself (~47.286,-122.291)"
Lakota Park,Federal Way,N,"31334 SW Dash Point Rd, Federal Way, WA 98023",,,,31334 SW Dash Point Rd,98023,47.32050,-122.35822,https://photon.komoot.io,high confidence - direct OSM park polygon match confirms both address and coordinates
Laurelwood Park,Federal Way,Y,2301 S 292nd St,98003,47.338837,-122.310147,,,47.33877,-122.30413,https://www.google.com/maps/place/Laurelwood+Park,"high confidence the coordinates are wrong - the city's Bing map pin is systematically ~350-900m off (same westward-skewing bug seen across many Federal Way parks); corrected value is Google's exact-name-match location, cross-confirmed by independently geocoding the same street address via the free US Census geocoder, which lands within ~40-220m of Google in every case checked (vs. Bing's much larger gap)"
Madrona Park,Federal Way,Y,1095 S 324th Street,98003,47.282649,-122.35411,1508 S 356th St,98003,,,https://www.mypacer.com/parks/143313/madrona-park-federal-way,"high confidence the address is wrong (not the coordinates) - same root cause as Fishers Pond Park and SW 312th Sports Court: the city's 'Our Parks' page lists Madrona Park's Location as Celebration Park's address; the existing stored coordinates are already correct (mypacer's independent listing at 47.28006,-122.35497 is ~300m away, well within normal cross-provider variance for the same park), so only the address text needs overriding, not the coordinates"
Mirror Lake Park,Federal Way,Y,915 S 315th St,98003,47.319552,-122.327292,,,47.31948,-122.32210,https://www.google.com/maps/place/Mirror+Lake+Park,"high confidence the coordinates are wrong - the city's Bing map pin is systematically ~350-900m off (same westward-skewing bug seen across many Federal Way parks); corrected value is Google's exact-name-match location, cross-confirmed by independently geocoding the same street address via the free US Census geocoder, which lands within ~40-220m of Google in every case checked (vs. Bing's much larger gap)"
Olympic View Park,Federal Way,Y,,,47.307732,-122.372476,32904 30th Ave SW,98023,,,https://www.waze.com/live-map/directions/us/wa/federal-way/olympic-view-park,"high confidence - geocodes within ~130m of given coordinates; do not use the commonly-cited alternate 3234 SW 338th St, which does not resolve to a valid address and is not near the given coordinates"
Palisades Park,Federal Way,Y,5039 SW Dash Point Rd,98023,47.321792,-122.402415,,,47.32195,-122.39710,https://www.google.com/maps/place/Palisades+Park,"high confidence the coordinates are wrong - the city's Bing map pin is systematically ~350-900m off (same westward-skewing bug seen across many Federal Way parks); corrected value is Google's exact-name-match location, cross-confirmed by independently geocoding the same street address via the free US Census geocoder, which lands within ~40-220m of Google in every case checked (vs. Bing's much larger gap)"
SW 312th Sports Court,Federal Way,Y,1095 S 324th Street,98003,47.321807,-122.401514,1257 SW 312th St,98023,47.322612367848464,-122.3492546297747,https://www.mypacer.com/parks/195079/southwest-312th-sports-courts-federal-way,"medium-high confidence the existing coordinates are wrong - the city's page lists this court's Location as the same address as Celebration Park (a separate copy-paste error, same root cause as Fishers Pond Park), and the existing stored coordinates don't match Celebration Park's either, landing ~4km further west with no clear explanation; mypacer's independent listing gives 1257 SW 312th St, consistent with multiple other sources describing the court as near 11th Pl SW/11th Ave SW off SW 312th St"
Town Square Park,Federal Way,Y,31600 Pete von Reichbauer Way S,98003,47.318054,-122.312465,,,47.31805,-122.30714,https://www.google.com/maps/place/Town+Square+Park,"high confidence the coordinates are wrong - the city's Bing map pin is systematically ~350-900m off (same westward-skewing bug seen across many Federal Way parks); corrected value is Google's exact-name-match location, cross-confirmed by independently geocoding the same street address via the free US Census geocoder, which lands within ~40-220m of Google in every case checked (vs. Bing's much larger gap)"
Wedgewood Park,Federal Way,Y,3913 SW 337th St,98023,47.298922,-122.387738,,,47.29895,-122.38227,https://www.google.com/maps/place/Wedgewood+Park,"high confidence the coordinates are wrong - the city's Bing map pin is systematically ~350-900m off (same westward-skewing bug seen across many Federal Way parks); corrected value is Google's exact-name-match location, cross-confirmed by independently geocoding the same street address via the free US Census geocoder, which lands within ~40-220m of Google in every case checked (vs. Bing's much larger gap)"
Wildwood Park,Federal Way,Y,2315 S 300th St,98003,32.808648,-97.49877,,,47.3326833,-122.3032617,"https://www.google.com/maps/place/Wildwood+Park/@47.3326869,-122.3058366,17z","very high confidence the existing coordinates are wrong - the city's own Bing map link for this park literally has cp=32.808648~-97.49877 embedded, which is Fort Worth, Texas, not Washington State (a ~2,600km error, almost certainly a copy-paste mistake on the city's side); Google's link on the same page resolves to a place named exactly 'Wildwood Park' in Federal Way"
Winco Park,Federal Way,Y,106 SW Campus Dr,98023,47.293013,-122.342613,,,47.29268,-122.33708,https://www.google.com/maps/place/Winco+Park,"high confidence the coordinates are wrong - the city's Bing map pin is systematically ~350-900m off (same westward-skewing bug seen across many Federal Way parks); corrected value is Google's exact-name-match location, cross-confirmed by independently geocoding the same street address via the free US Census geocoder, which lands within ~40-220m of Google in every case checked (vs. Bing's much larger gap)"
City Hall Park,Kenmore,Y,,,47.75988215459329,-122.24920246950327,18120 68th Ave NE,98028,,,https://www.kenmorewa.gov/our-city/about-kenmore/city-hall,official city page; park sits immediately behind/adjacent to City Hall and shares its address
Inglewood Wetlands,Kenmore,Y,,,47.753996690772645,-122.25319151662855,,,,,,NOT FOUND - likely an unaddressed wetland buffer parcel near the Inglewood neighborhood along the Sammamish River
Jack Crawford Skate Park,Kenmore,Y,,,47.76107085416241,-122.24944165387461,18120 68th Ave NE (behind City Hall),98028,,,https://www.kenmorewa.gov/Home/Components/FacilityDirectory/FacilityDirectory/2/103,"official city facility directory, cross-checked via Yelp; coordinates align with City Hall complex"
Linwood Park,Kenmore,Y,,,47.76759674730072,-122.26871099504713,5601 NE 193rd Street,98028,,,https://www.kenmorewa.gov/Home/Components/FacilityDirectory/FacilityDirectory/4/103,official city facility directory; longitude cross-check consistent
Log Boom Park,Kenmore,Y,,,47.756945131844,-122.26458127146097,17415 61st Ave NE,98028,,,https://www.kenmorewa.gov/Home/Components/FacilityDirectory/FacilityDirectory/14/103,official city facility directory (also called Tracy Owen Station); longitude cross-check consistent
Moorlands Park,Kenmore,Y,,,47.73954687658514,-122.23041588215911,15221 84th Ave NE,98028,,,https://www.kenmorewa.gov/Home/Components/FacilityDirectory/FacilityDirectory/6/103,official city facility directory; longitude cross-check consistent
Northshore Summit Park,Kenmore,Y,,,47.76808260572685,-122.26010941115972,6200 NE 193rd St,98028,,,https://www.kenmorewa.gov/Home/Components/FacilityDirectory/FacilityDirectory/8/103,"confirmed via aggregator sites citing official directory; direct city page fetch was blocked (403), so not first-party-verified"
Rhododendron Park,Kenmore,Y,,,47.75286743751577,-122.24855447518146,6910 NE 170th Street,98028,,,https://www.kenmorewa.gov/our-city/projects/walkways-and-waterways/rhododendron-park-waterfront-natural-open-space-access,official city project page; longitude cross-check consistent
Swamp Creek Wetland Open Space,Kenmore,Y,,,47.7674997239035,-122.2418489894082,,,,,,NOT FOUND - distinct from Wallace Swamp Creek Park (~400m away); appears to be an undeveloped open-space parcel without its own formal address
Twin Springs,Kenmore,Y,,,47.76824160045416,-122.23044755817858,19420 80th Ave NE,98028,,,https://www.kenmorewa.gov/our-city/projects/completed-projects/twin-springs-park-project,official city project page; longitude cross-check (80th Ave NE) consistent
Wallace Swamp Creek Park,Kenmore,Y,,,47.77035373447405,-122.24560383620691,19851 73rd Ave NE,98028,,,https://www.kenmorewa.gov/Home/Components/FacilityDirectory/FacilityDirectory/16/103,official city facility directory; longitude cross-check consistent
ƛ̕ax̌ʷadis Park,Kenmore,Y,,,47.75411007072394,-122.23742592886977,7353 NE 175th Street,98028,,,https://www.kenmorewa.gov/our-city/projects/walkways-and-waterways/waterfront-natural-open-space-access-project-at-squire-s-landing-park-renamed,multiple street numbers appear across sources (7353/7515/7729 NE 175th St) for different entrances/parcels of this large multi-acre park; not fully certain which is closest to GIS centroid
Frager Road Trail,Kent,Y,,,47.37866053210368,-122.26949289472454,"Frager Road S (no house number; nearest addressed landmark is Old Fishing Hole Park, 24950 Frager Rd S, ~200m away)",98032,,,https://www.kentwa.gov/departments/kent-parks/parks-places/parks-trails,high confidence on street/city - reverse-geocode lands directly on Frager Road South; no single formal street-number address exists for the trail itself
Interurban Trail,Kent,Y,,,47.38659664099557,-122.24215281717672,West James Street (at the Interurban Trail crossing),98032,,,https://www.kentwa.gov/departments/kent-parks/parks-places/parks-trails,"high confidence - coordinate reverse-geocodes within ~10m to West James Street in downtown Kent; not near Foster Park, a different access point on the same trail"
South 277th Corridor Trail,Kent,Y,,,47.353520396406076,-122.20825587387101,South 277th Street / Green River Road S (near the Green River pedestrian bridge),98030,,,https://www.alltrails.com/trail/us/washington/south-277th-corridor-trail,medium confidence - reverse-geocode returns the trail way itself; NOT FOUND for a formal address. Green View Park (12033 SE 277th Pl) is sometimes cited nearby but is ~2.1km away and does NOT match - do not use
Bridle Crest Trail,Redmond,Y,,,47.65940636258343,-122.12738430323635,,98052,,,https://www.redmond.gov/facilities/facility/details/Bridle-Crest-Trail-68,"NOT FOUND - linear trail, no street number, runs along south side of NE 60th St; reverse-geocode confirms location, city facility page lists no address"
Martin Park,Redmond,Y,,,47.67687493214384,-122.08097944771299,,98052,,,https://www.redmond.gov/954/East-Redmond-Corridor,"NOT FOUND - real city-owned parcel referenced in East Redmond Corridor Master Plan, but no public facility page or street address; reverse-geocode lands on Bear-Evans Creek Greenway Trail, consistent with undeveloped/natural character"
Redmond Central Connector,Redmond,Y,,,47.67253231433148,-122.12196147970485,"16651 Redmond Way (nearby downtown reference, not confirmed match)",98052,,,https://www.redmond.gov/facilities/facility/details/Redmond-Central-Connector-Park-12,"medium confidence - reverse-geocode confirms point sits on the trail; city's own page lists no house number, consistent with a linear rail-trail"
SE Redmond Open Space,Redmond,Y,,,47.6634345285573,-122.08292566412361,,98052,,,,"NOT FOUND - genuinely unresolved; coordinate reverse-geocodes to Woodbridge neighborhood near NE 64th Way, south of Southeast Redmond Park's described boundaries, suggesting a different unlabeled city-owned tract - recommend manual King County parcel/GIS lookup"
Welcome Park,Redmond,Y,,,47.67676418285114,-122.1522303781931,,98052,,,https://www.redmond.gov/1456/Welcome-Park-Short-Plat,"NOT FOUND - does not appear in Redmond's official park list; only matching record is a Welcome Park Short Plat residential subdivision at 8107 142nd Ave, reverse-geocode lands close to 8303 141st Ave NE - may be a plat-dedicated open-space tract, not confident enough to assign a number"
Cedar River Trail - Logan to Library,Renton,Y,,,47.49428682,-122.21304568,"NOT FOUND as this segment; nearest addressed landmark is Cedar River Trail Park, 1060 Nishiwaki Ln",98057,,,https://www.yelp.com/biz/cedar-river-trail-park-renton,low/mixed confidence - given lat/lon is ~1.5km from the actual downtown Logan-to-Library stretch; looks like a mismatch between segment name and coordinate in source data - flagging rather than guessing
